negationHandled,sentiment
kedepan nya ngak tau apakah akan gagal atau berhasil tetapi jika kamu benar benar mengikuti ekonomi indonesia saat ini kamu pasti tau bagaimana saham bank yang di masukkn ke danantara saat ini saham di bank ini semunya ancur saham di sektor pertambangan juga lagi ancur ancurnya surat hutang negara juga banyak yang di jual oleh pemiliknya penarikan uang dri bank yang di masukkan ke danantara juga sudah ngak terkendali saham pertamina ancur saham pln ancur saham telcom ancur saham perusahaan bumn lain juga banyak yang terjun bebas rupiah juga jatuh ke level terendah dlm tahun terakhir boleh di bilang pasar saham indo saat ini lagi kacau nya setelah danantara di luncurkan dri sini saja sudah jelas bagaimana kepercayaan investor kepada danantara sedangkan danantara itu sebuah perusahaan yang membutuhkan investor untuk mendapatkan modal jika investor ragu dngn danantara bagaimana mau mendapatkan modal jngnkan mencari modal mau terus mengekalkan keuntungan di perusahaan bumn ni saja susah jika investor pada menjual saham nya,Netral
kedepan nya ngak tau apakah akan gagal atau berhasil tetapi jika kamu benar benar mengikuti ekonomi indonesia saat ini kamu pasti tau bagaimana saham bank yang di masukkn ke danantara saat ini saham di bank ini semunya ancur saham di sektor pertambangan juga lagi ancur ancurnya surat hutang negara juga banyak yang di jual oleh pemiliknya penarikan uang dri bank yang di masukkan ke danantara juga sudah ngak terkendali saham pertamina ancur saham pln ancur saham telcom ancur saham perusahaan bumn lain juga ancur semua nilai rupiah hari ini jatuh ke level terendah dlm tahun terakhir boleh di bilang pasar saham indo saat ini lagi kacau nya setelah danantara di luncurkan dri sini saja sudah jelas bagaimana kepercayaan investor kepada danantara sedangkan danantara itu sebuah perusahaan yang membutuhkan investor untuk mendapatkan modal jika investor ragu dngn danantara bagaimana mau mendapatkan modal jngnkan mencari modal mau terus mengekalkan keuntungan di perusahaan bumn ni saja susah jika investor pada menjual saham nya,Netral
kedepan nya ngak tau apakah akan gagal atau berhasil tetapi jika kamu benar benar mengikuti ekonomi indonesia saat ini kamu pasti tau bagaimana saham bank yang di masukkn ke danantara saat ini saham di bank ini semunya ancur saham di sektor pertambangan juga lagi ancur ancurnya surat hutang negara juga banyak yang di jual oleh pemiliknya penarikan uang dri bank yang di masukkan ke danantara juga sudah ngak terkendali saham pertamina ancur saham pln ancur saham telcom ancur saham perusahaan bumn lain juga banyak yang terjun bebas nilai rupiah hari ini jatuh ke level terendah dlm tahun terakhir boleh di bilang pasar saham indo saat ini lagi kacau nya setelah danantara di luncurkan dri sini saja sudah jelas bagaimana kepercayaan investor kepada danantara sedangkan danantara itu sebuah perusahaan yang membutuhkan investor untuk mendapatkan modal jika investor ragu dngn danantara bagaimana mau mendapatkan modal jngnkan mencari modal mau terus mengekalkan keuntungan di perusahaan bumn ni saja susah jika investor pada menjual saham nya,Netral
mari kita doakan semoga matahati mereka melek cukup sampai di pertamina jgn ada lagi kegaduhan dilingkup semua wilayah,Negatif
​ dr mitigasi hukumnya saja jelas melindungi pelaku gagal boleh lepas tangan apalagi dana segitu besar,Netral
biar jauh menilai prabowo berkualitas lihat saja kabinetnya jauh dr kata layak siapa yang pro prabowo pasti jadi pejabat padahal banyak yang bukan ranahnya untuk menduduki jabatan itu ancur,Positif
sotoy kamu,Netral
mas raymond tolong bahas danantara dengan ichsan noorsy atau ekonom netral lainnya,Netral
tolong jangan ikutkan pak jokowi,Positif
nanti juga ujungnya korupsi,Negatif
iya benar beri rakyat kepercayaan,Positif
masalahnya orang yang mengelola sudah benar ahli dan amanah tidak,Netral
bayangkan semua anak muda yang produktif mempunyai pekerjaan dengan gaji yang layak mungkin indonesia bakal jadi negara maju,Positif
kepercayaan mana boleh kalau yang kelola orangorang itu saya yakin kalau tidak ada perbaikan management dengan adanya danantara ini kehancurannya akan lebih cepat,Positif
tar juga abis seperti asabri danjiwa seraya,Netral
pengelolaan model apapun jika tidak dilandasi dengan amanah pasti rusaknya,Negatif
dengan adanya danantara lalu bagaimana nasib dari emiten yang sudah go publik dan jadi emiten tersendiri apakah nantinya akan di akomodir jadi satu emiten,Negatif
jokowi ayo jujur uang rakyat di rampok uang rakyat di tipu uang rakyat di maling,Positif
diwaspadai isu rencana danantara hutang ke china dikemas investasi di proyek ugal²an dan akhirnya mangkrak rugi selanjutnya china ambil alih bumn dan negeri ini tergadai,Negatif
pret,Netral
trendingkan gaes,Netral
ayo para tikus kumpul ada makan besar ayo ayo tikus tikus,Positif
aku juga sebagai warga ijin berpendapat semoga danantara harapan bangsa transparansi akuntabilitas representasi tata kelola yang baik tolong kembalikan kepercayaan masyarakat ada jaminanya kah kalau program itu gagal malah jadi ladang korupsi gmnasapa yang mau bertanggung jawab,Positif
sebagus apapun kapal pesiar yang dibentuk jika pengemudinya memiliki trade record kegagalan percuma tetap saja bocor dan boros,Negatif
jangan memuji pembawa acaranyapuji atau kritik kebijakan pemertintah soalnya negara berkembang selalu memuji pembawa acaranyakaya indiabangladesorg orang nya selalu memuji cantik dan gantengudik banget dasar konoha,Positif
bagus sih analisamutp kalau lihat pengurus orang ny tu za y gedrop lagi n pesimis say,Positif
maaf ray saya yakin danantara bakal dikorupsi liat siapa yang kelola and they want us to be optimistic,Positif
danantqra harus boleh diaudit sekelas big auditor,Netral
rawan di colong tidak iya,Negatif
kenapa minta transparan karena ada keraguan dari semua track record dan jajarannya ini wajar masalah negeri ini cuma satu korupsi sementara praktek korupsi di pemerintahan kita sudah tidak terhitung banyaknya tentu termasuk pertamina yang masih hangat dan bumn lainnya akan lebih aman jika diberlakukan hukuman berat seperti china tetapi kenyataannya tidak danantara ini tidak main boleh menuju indonesia emas atau sebaliknya jadi cemas sebenarnya gampang saja coba lihat sebelum danantara ini diluncurkan dana asing sudah banyak yang kabur hingga saat ini masih berlangsung investor lokal juga ikut panik ihsg koreksi dalam berlapis sebagai warga negara saya berharap optimis tetapi rasanya berat kita lihat saja nanti,Negatif
benerbener make it or break it,Netral
bagus kalau jadi tamasek hancur kalau jadi mdb,Negatif
orang nya y itu saja selalu mewariskan koruptoryakin bersih dari korupsi kalau urusan duit,Negatif
good,Netral
yang paling bahaya dalam kemajuan masa depan dalam ekonomi oknum pungli ormas preman penipu,Negatif
masa depan terus sekarang bagaimana guru saja pppk kelihatan nya semefawutbtuh,Netral
selagi sistem pengawasan pengelolaan dan sistem hukum di negeri ini belum dirubah dan diisi oleh orang itu itu saja dalam pengelolaannya percaya omongan saya danantara pasti di korupsi terjebak dengan sistem lingkaran setan,Negatif
emas jembooooot,Netral
terbaik awasi secara publik jgn sampai dikorupsi triliunan sepertinya tidak ada lembaga negara yang tidak korup di negeri ini klw tidak hukum mati korupsi sedangkan mulyono cs yang terlibat korupsi saja dikokop sama pak bowo bak sejoli,Negatif
indonesia hancurtp anak konoha sudah makmur boleh hidup dengan mata sipit kalau boleh,Netral
mengawal dan mengawasi rakyat cuma boleh itu terus direspon ndasmu,Negatif
tetapi saya pesimis bang liat pertamina akhir ini,Netral
baru kali ini aku merasa seperti tidak punya presiden padahal aku pilih prabowo di pilpres kemarin,Negatif
tak percaya dengan danantara,Positif
pak erick lebih baik fokus di bidang saja karena di bumn masih banyak dan di pssi masih banyak ingat kata investors legendaris buffet fokus,Positif
penganguran saja banyak bagaimana mau bgkit ekonomi bacot dan omon haja,Positif
yang perlu indonesia maju peraturan hukuman mati bagi para koruptor baru maju semua danatara seperti negara chinakorea utara pejabatnya gagal dan salah sedih capek setiap hari negara begini melulu,Negatif
sekalian kamu perampasan aset koruptor kamu pembuktian harta terbalik semua pejabat harus boleh membuktikan asal usul harta mereka dan sekalian peraturan pembatasan dana kampanye setiap calon harus dibatasi dana yang mereka gunakan untuk kampanye untuk menghindari politik balas budi,Negatif
kita semua sudah lelah dengan kondisi negera ini karena kerusakan nya itu ada di sistem nya maka kerusakan itu ada di seluruh sisi kehidupan masyarakat kalau masalah nya ada di sistem nya maka tidak ada solusi kecuali benahi sistem nya alias ganti sistem karena demokrasi kapitalis jelas terbukti rusak dan merusak kalau solusi nya cuma tambal sulam maka iya begini jadinyagak selesai selesai sampai capek kita di buatnya,Negatif
​ said kata ahok juga gitu kan,Positif
elo masi utek utek di kamu perampasan aset jika dpr enggan mengesahkan iya cukup cari solusi lain bukan terjebak d kamu tidak semua harus di kamu kamu memang bagus tetapi itu bukan uta dan bapak presiden kita bukan orang bodoh dia orang hebat,Negatif
gampang banget bilang hebat boleh buktikan,Positif
ngimpi ye mau hukum mati koruptor mantan napi kasus korupsi saja malah dikasih jabatan di danantara,Negatif
keren covernya chin ditengah biasanya bosnya,Positif
ribu t yang diincar mukidi,Negatif
ade manissssslu tau semikonduktor teknologi itu yang mau dikembangkan melalui bayangan teknologi pertanian jaman soehartokarena cia ataw mamarika tau disikatlah itutakutlah mamarika kalau indonesia maju sebagai negara techitu yang kamu baru tau sekarang,Positif
keraguan akan hancur uang danantara itu hanya tujuannya politikus jika prabowo satu priode atau dua priode akhir priode itulah korupsi bejemaat,Negatif
memang ada yang sukses program pemerintahanan dri duluyg ada thun sekli gnti terus hbis uangnya di maling,Negatif
simpel saja itu semua dana yang dimasukin ke danantara langsung saja beliin bitcoin sama seperti yang di lakukan presiden argentina saya yakin ekonomi indonesia bakal grow lebih dari tetapi dengan catatan tidak di korup,Positif
danantara taruhanya jabatan prabowo sebagai ri kalau sukses lanjut x periode kalau gatot gagal total maaf cukup periode saja,Negatif
kalau malaysia saja gagal mengelola mbd saya sangat sangat ragu indonesia akan boleh dan saya berharap saya salah,Negatif
ditengah kasus korupsi yang banyak terjadi saya kira wajar banyak yang khawatir dengan danantara,Negatif
mohon maaf track record orangorang yang ada di dalamnya khususnya beberapa orang yang direkrut karena kekerabatan dan politis membuat saya sebagai rakyat pesimis dengan danantara,Negatif
omon² boleh manis boleh diaudit kapan dan oleh siapa saja tetapi aturannya berkata lain kamu bumn menyatakan bhw bpk dan kpk boleh masuk asal ada permintaan dari dpr dpr adalah kumpulan parpol ketum parpol adalah ternaknya oligarki oligarki konoha adalah penjajah dan perampas tanah dan sda berdasarkan kkn kalau dia ngerampok silakan tanya dulu dpr boleh diperiksa tidak lalu apa yang boleh diharapkan dengan track record dan akal bulus seperti itu,Negatif
patut dicoba bikin semuanya jadi lancar jaya,Positif
cocok banget buat yang butuh cepat andalan,Positif
tidak heran deh kalau kolom komentar penuh sama,Negatif
kalau ndak serius dengan komitmen untuk memberantas korupsi susah bagi saya percaya deh slogan dan statement mereka perhatikan ucapan pak ahok terkait masalah dan situasi di pertamina kalau saya sedih dan kuatir dengan danantara saya ragu-ragu orangorang ini adalah pantas karena komitmen mereka memberantas korupsi tidak nyata,Negatif
intinya jangan korupsi,Negatif
terlalu telat kalau ngomongin baru mulai invest negara lain malah sudah star duluan beli bitcoin alhasil sekarang menikmati hasil nya saat market lagi jenuh,Negatif
thumbnail tidak sopan,Positif
ini sih bagus kalau tak di korupsi itu saja sih penyakit di nusantara ini,Negatif
tujuan negara bagus tetapi kalau di tumpangi koruptor buat korupsi iya rusak,Negatif
salut banget nasionalisme kamu bikin saya berurai air mata barother,Positif
masalah klasik dan yang berkelanjutan terkait poin kepercayaan adalah antara poin track record dan poin jajaran dan janji tidak inline terlebih lagi poin track record dan poin jajaranjanji juga bermasalah secara internal dan juga kontra secara internal juga selama moral belum baik meritokrasi tidak diimplementasikan program apa pun bahkan seperti program di dalam sirkel paling kecil yaitu rumah tangga tidak akan pernah efektif efisien bahkan mungkin tidak bisa berjalan dengan baik sama sekali alias pincang,Negatif
mengapa di negara ini tidak effesien apakah mereka sudah berani hukuman yang sudah ada lembaga yang di bentuk elalu ada lembaga yang mengawasi lembaga yang di awasi di bentuk lagi suatu lembaga untuk mengawasi lembaga yang mengawasi lembaga lain di bawahnya,Negatif
saran bagus bos saya mendung buat kemajuan negara bos,Positif
yang dikumpulin oleh danantara dari bumn bukannya hanya dividennya kalau angkanya segitu besar belasan ribu triliun itu mungkin total equity atau bahkan total aset dari seluruh bumn cmiiw,Negatif
ngeri isinya koruptor no di duniague yakin danaantara akan menguap dan mereka happy,Netral
iya allah mohon lindungi raymond dan keluarganya,Negatif
sah kan dulu hukum modar buat para cecurut yang suka grogotin kekayaan negara tanpa tolerasi dan alasan apapun serta miskin dan sita semua aset dan harta nya kalau kata pak ahok yang dijuliki macan ompong masalah terbesar di negara ini adalah kurupsi untuk berantas korupsi butuh transparansi untuk transparansi butuh digitalisasi jadi kita perlu macan sejati di negara ini bukan macan sirkus,Negatif
semoga terwujud dan rakyat indonesia harus sabar biarkan pak presiden prabowo subiyanto cs bekerja max jgn dikit demo sabarlah,Positif
anjir liat dulu direksi mantan korupsi bahkan ada korupsi x masi bebas dan diterima anggota dpr pemimpin keponakan dan menantu pak luhut peraturan baru danantara tidak boleh di periksa langsung harus izin dpr baru boleh liat audit saja bukan pembukuan dana pengawas sby presiden terkorupsi kasus banyak korupsi mega proyek hambalang dan korupsi partai demokrat dan jokowi alias mulyono presiden gagal sering blunder kasus korupsi banyak mencuak gagal bangun ikn padahal asing sudah invest berujung kena fatal,Negatif
kalau danantara gagal siapa yang harus digantung,Netral
main slot bawa modal rb juta dollar,Netral
antara jalan emas sama bubar,Negatif
ngelola kebon singkong saja gagal bos sedikit berharap saya mah,Netral
ini baru awalan dari terbentuknya danantara sehingga belum boleh diambil kesimpulannya kupikir dengan dana sebesar itu selanjutnya dan seharusnya akan terbentuk pula undangundang yang akan tercipta untuk melindungi dana sebesar itu misal hukuman beratmati bagi koruptor hilangnya kekebalan hukum terhadap ex presiden sehingga dana sebesar itu boleh dikelola secara profesional dan boleh dipertanggung jawabkan next undang tersebut akan terbentuk seharusnya,Negatif
dijamin danantara gagal jika direktur dan komutnya adalah titipan partai dan pensiunan partai cokelat dan partai hijau,Negatif
sya tki malaysia selalu memantau chanel raymon sukses selalu bang,Netral
masih ada orang terkorup buat apa di masukin memang tidak ada yang lain,Negatif
bang untuk melamar pekerjaan harusnya syarat umur maksimal ditiadakan karena membebani sekali dengan syarat umur memang umur diatas tahun ngk boleh bekerja,Negatif
korupsi adalah budaya indonesia,Negatif
agak meragukan sih sebenernya,Negatif
prinsip hidup kalau belum jujur pada diri sendiri jangan berharap boleh jujur untuk urusan publik,Positif
mau optimis tetapi ini konohaujung nya habis di gerogoti tikus,Netral
repot amat berbelit belit langkah pemerintah untuk majukan negara cukup potong pajak sudah cukup investasi langsung ngalir ekonomi jalan lapangan pekerjaan otomatis terbuka ketimbang pajak tinggi ujungnya dikorupsi,Negatif
mengapa danantara menimbulkan kekisruhan sejak awal sekarang kemungkinan besar untuk seterusnya jwbnnya hanya satu trust issue mulai dari niat yang sesungguhnya penggagas pendiri pengawas pembina dewan pakar pengelola sistem pengawasan mekanisme punishment semuanya amat sangat diragukan integritas nya sekali lagi ini semua ttg trust issue,Negatif
nnt kita lihat bukti nya bukan sekedar teori omon omon,Netral
kalau sampai danantara gagal hancur republik ini semoga pada pakai naluri hati nurani para penasihat pengelola danantara sungguh ingin meningkatkan kesejahteraan rakyat,Netral
saya yakin akan gagal,Netral
apa yang terjadi di hari ini adalah akibathasil dari masa lalu apa yang akan terjadi di adalah hasil dari masa sekarang intinya jangan mengharapkan semua instan,Positif
asetnya total sekian itu aset beneran atau asetan biar kesannya waaauuw,Netral
tidak boleh gagal personelnya bermasalah pengawasannya tidak ada power tends to corrupt absolute power currupts absolutely dark is coming,Negatif
kami rakyat indonesia mendoakan selalu untuk kemajuan bangsa indonesia menjadi indonesia maju indonesia mandiri indonesia emas,Positif
keren,Positif
dukung kamu perpu pemisikinan perampasan asset koruptor kalau tidak boleh kamu perpu hukuman mati koruptor semangat gen muda maju mendunia,Negatif
sepuluh bambang pachul tidak guna buat loe satu raymon chindan mengguncang hatimuhidup anak muda,Positif
matoh koh majoe teroes,Netral
pertamina saja gudang korupsi apalagi danantara nanti kalau koruptor tidak di hukum mati turunan tetep saja negara ini busuk,Negatif
kalau ada kalian yang penjilat pemerintah menghujat raymond chin pastikan otak dan mental kalian di check upada masalah ma mental kalian respect untuk raymond chin,Negatif
masyaallah tabarokallah barokallahu fiikum,Positif
pinter banget koh,Netral
danantara gagal negara bubar,Negatif
kalau dikorup atau bangkrut hukuman gantung yang paling pantas buat mereka,Negatif
semoga masyarakat tidak jadi konsumen dri proyek negara aamiin,Positif
alhamdulillah boleh ngasih konten soal,Positif
di homepage website danantara harus ada live progres pemanfaatan untungrugi investasi jangan malu kalau sewaktu ada rugi umumin saja kondisi sekecil apapun nanti para expert di berbagai penjuru indonesia boleh kasih masukan dan kita yang tidak boleh apa cuma boleh bantu doa,Positif
pada dasarnya orang indonesia itu lebih suka mengkritik dr kekurangan ide dan gagasan setiap orang dan sedikit sekali orang yang berani menyampaikan ide gagasan induk,Netral
minimal gunakan teknologi blockchain untuk tahapan transparansi kalau memang hukumnya belum boleh diakomodasi ingat sekecil apapaun uang ynag digunakan untuk korupsi akan jadi bahan bakar di akheratnya nanti dan ingat seseorang yang dikasih amanat bersifat khianat untuk urusan ummat hidupnya tidak akan pernah merasa nikmat,Negatif
pakai mmt saja cetak uang berbasis proyek kita tiru saja cara tiongkok dengan mmtnya,Negatif
di negara yang korup ini saya sedikit pesimis,Netral
aku ada pertanyaan untuk danantara dananya diambil dari mana apakah rp x triliun didapatkan dari penghasilan bumn saja yang kemarin berhasil menyumbang rp tm jadi setiap tahun keuntungan dari bumn akan dimasukkan kedalam danantara atau apakah cetak uang bagi yang tau dan paham tolong jelasin terima kasih,Positif
siiip koh,Netral
bissmillah semoga danantara boleh berjalan dengan baik hingga rakyat nya merasakan dampak ekonomi yang lebih baik dari sekarang yang buruk,Positif
yakin,Positif
kalau bismillah doang saya juga boleh yakin dengan dewan direksi mantan koruptor peraturan danantara yang perlu izin dpr baru boleh liat audit saja bukan berkas pembukuan dana itupun harus izin loh masi bismillah,Positif
sebagai rakyat kita harus percaya dan berharap pada pemimpin dengan mendoakan yang baik ingat omongan itu doa kalau kita berucap indonesia tidak bakal maju iya itu doa dari rakyat nya sndiri simple nya jika hukum saja dia permain kan lantas apa dengan sang pencipta allah swt yang turun tangan akan meleset iya tentu tidak semua tidak ada yang tau alam ini sudah di atur sedemikian rupa agar kita belajar dari sebuah kesalahan tidak ada salah nya kita mensuport terlebih dahulu,Netral
hayo jwb apa,Positif
danatara seperti judi,Negatif
padahal pendidikan itu investasi jangka panjang untuk masa depan sebuah negara untuk menjadi negara maju,Positif
trending lah,Netral
tidak percaya dengan pak prabowo bagaimana iya beliau saja jadi presiden karn cawe cawe jokowi,Positif
dan bank emas untuk mencuci korupsinya,Negatif
kita akan blunder di korupsi yang merajalela,Negatif
ayo samasama kita menjaga stabilitas politik hukum dan keamanan agar investor masuk menciptakan iklim ekonomi yang baik mari kita sebagai masyarakat kawal hukum dan support kebijakan pemerintah bila mana baik dan bila dirasa ada kekurangan mari kita koreksi tanpa menyerang secara personal tanpa etika bar bar dan juga jangan menggangu kegiatan produktif masyarakat,Positif
kita tebak tebakan yuk kira kira tahun berapa kah korupsi danatara muncul di berita mulai dari sekarang,Netral
banyak orang indonesia yang berskil tetapi tidak ada ruang oleh pemerintah ibarat anda memahami untuk bertani tetapi anda tidak mempunyai tanah ataupun lahan,Positif
keren brow lanjutkanmencerdaskan orang yang memang terbatas secara literasi dalam melihat ekonomi indonesia,Positif
influiser,Netral
tombol tidak percaya danantara,Positif
kamu buzzer nya ray ggk boleh gagal korup kan maksudnya,Negatif
jangan kan danantara itu utang bumn istaka karya dan karya lain ke vendor dan subkon saja belum dibayar dr jaman jokowi ada yang sampai bundir dan ramah nya disita bank apalagi kelola ribuan t belum kasus pertamina dulu kalau hukum msi ky krupuk jgn harap negara ini bisa bebas dr koruptor its just my two cents,Negatif
akan dikelola dengan hatihati hati ketahuan,Netral
dewan pengawas tugasnya apa kalau terjadi korupsi mereka mau tanggung jawab tidak,Negatif
jadi apa nama community nya koh sudah pada mau join nih,Netral
rakyat sudah terlanjur kecewa dengan janji janji palsu yang berakhir dengan korupsi yang berjemaah mega super bintang besar,Negatif
indonesia raya merdeka merdeka hiduplah indonesia raya,Positif
betul kt k reymond kalau salah langkah indonesia gelap gulita,Negatif
sudah gelap pun padahal kalau tidak ke danantara uang yang pak prabowo dapat trilliun itu boleh buat mensejahterakan indonesia agar tidak gelap gurita hutang pinjol rakyat yah bebas total hutang pinjol baru trilliun yang didapat trilliun memang tidak cash semua oke cuman beda nya berapa nol bro banyak rakyat kelas bawah bunuh diri akibat pinjol dulu sekolah dan makan siang gratis kesehatan dan pengobatan gratis bahan pangan dan pokok boleh turun dan stabil tetapi semua demi danantara bro bro pusing bro salah dikit kelar prabowo liat saja direksi nya mantan korupsi,Negatif
harus boleh diawasi semua orang iya jgn nanti yang kritik disuruh klarifikasi,Negatif
bagi yang tidak setuju kamu perampasan aset berarti ada kemungkinanpernah korupsi dan takut ketahuan punya kenalan atau dapat sogokan untuk melindungi koruptor punya cita cita korupsi dimasa depan saya yakin jika pak prabowo bilang kata kata ini didepan pejabat dan firalkan akan memojokkan mereka yang menolak kamu perampasan aset jika kamu gagal minimal mereka yang menolak dicap dari ke hal itu,Negatif
simpelnya ngapain takut kamu perampasan aset jika kita belum korupsi dan tidak berniat korupsi,Negatif
tidak paham kenapa ada mulyono dianggap masih populer kah biar rakyat dukung proyek ini atau memang permintaan mulyono kalau begitu berarti memang macan ompong,Negatif
iya ngak boleh gagal untuk di korupsi seperti asabri jiwa sraya gas terus,Negatif
wkwkkw ngomong moja maju moja maju mereka itu sudah lebih dari tahun berkuasa masak tidak lihat koh nepotism terangan investasi bumn ke perusahaanya kerabatnya terangan suram koh suram,Negatif
saya skeptis untuk ini iya tau sendiri lah semua juga tau kita fokus puasa saja bang,Negatif
semoga danantara sesuai yang di gaunkanpure untuk kemajuan indonesiatidak dikelola secara serampangan seperti tahun terakhir pengelolaan negarayg bikin kacau di awal pemerintahan ini yang mengharuskan efisiensi anggaran,Positif
escape upload jam berapa,Negatif
orang percaya orang indonesia boleh amanah dan jujur ngelola duit besar saja sudah aneh fix program ini bakal jadi bancakan para politisi politisi,Positif
hukumnya harus kuatsebelum itu menjadi tempat pencucian uang,Netral
koh penasaran kenapa sritex vailid,Netral
kalau luhut masih di kabinetnya hancur,Negatif
tidak akan bener kalau masi ada korupsi trilyunan,Negatif
koreksi sedikit bang rb triliun itu total asset bumn termasuk pelindo garuda jasa marga semen indonesia kai dan lainlain hitungan asset ini boleh rancumisalnya jika garuda beli mobil dinas direktur seharga m terus di markup jadi m itu juga tercatat sebagai asset belum lagi jika bumn lain melakukan markup serupa maka makin besar juga asset asset juga boleh digelembungkan dengan menambah hutang sedangkan dana yang sebenarnya harusnya equity cash deposito saham dulu yang bersifat liquid tetapi ini pun masih boleh rancu keren equity asset hutang masih ada unsur markup dlm asset dan total equity bumn ini tidak sampai triliun,Negatif
selama masih ada jokowi nya tidak bakal sukses,Positif
selama dipegang boomer saya ragu-ragu,Negatif
kami akan selalu di belakang kamu bang,Negatif
harus trasparan dipertanggung jawabkan dunia akherat,Netral
saya pikir negara ini membutuhkan orang seperti anda mainkan peran anda dengan niat baik yang terukur,Positif
kreativitasnya luar biasa semoga makin banyak yang support vegas,Positif
yakin deh kalau pak prabowo brani punish koruptor dan ancam calon koruptor dengan hukuman berat gabakal adalagi kasus jiwasraya part i,Negatif
ujung muncul lagi berita korupsi dana tara,Negatif
setuju harus transparan dan rakyat boleh langsung menyaksikan,Positif
kalau berani suruh pak ahok jadi ceo,Positif
setiap manusia kalau mengahadapi uang banyak pasti akan berubah perilakunya korporasi indonesia banyak sekali bobroknya sudah tahun sejak kejatuhan orba kalau danantara malah menciptakan orbaorba yang baru bagaimana tentu saja korbannya adalah,Positif
persen buat judul dan penjelasan persen good percuma di langit atas dan bawah kita tahu ini bumi,Positif
kalau trio badut bergabung di danantaralihat duit segitu jiwa korupnya bangkit membaraklo ada pak ahok baru ada rasa amantp kalau trio diatas au ah gelap,Positif
itu website asli danantara kek website scammers anjir tidak niat banget,Netral
danantara dapat menampung phk srtex yamaha dulu,Netral
mental penjudi al in di harapan mantap kalau gagal berapa banyak yang jadi korban iya,Netral
ingat proyek food estate,Netral
saya percaya danantara akan berhasil karena orang yang mengelola orang pintar dan jujur semua semangat untuk indonesia maju,Positif
apakah selama tahun terkahir kita sudah mengalami perkebangan yang luar boleh jika sudah maka kita boleh berharap danantara akan berkembang secara luar biasa karena danantara akan di nasehati oleh orang yang telah membawa kita kedalam kondisi kemajuan selama tahun ini,Positif
assalamualaikum semuaterbaik saudara roymand chin penjelasan senang difahamimengupas isu jangkauan masa depandi selidik lebih mendalam strategi harus disusun rapidirungkai per insyaallahnegara indonesia pasti maju operation completed in strategi to colling comes indonesia emas,Positif
satu nama itu masuk wis tidak percaya kok boleh jadi pengawas,Netral
sama kucing,Netral
semoga berjalan lancar danantara dengan ijin dan ridho allaaah swt perdana semua dana di jadikan satu jadi besar dan di usahakan demi kemajuan nusantara indonesia sollu alan nabi muhammaad,Positif
cuma boleh diem,Negatif
ngapain jokowi jadi penasehat danantara,Positif
akhir nya danantara bukan seperti temasek singapore tetapi seperti skandal imdb malaysia bahkan boleh lebih parah karena dana jauh lb besar yang hancur adalah nkri dan yang sengsara semua rakyat indonesia,Negatif
sya masih skeptis raymond kita lihat mental dalam pengelolaan uang masih belum siap ini daging semua raymond,Netral
rakyat maunya pemimpin bersih dari korupsi tetapi dibawah rakyat ternyata sama saja kelakuannya dari tingkat rt desa kecamatan apakah yakin sudah bersih korupsi adalah warisan leluhur yang terus terjaga dan terlestari keberadaannya,Netral
kami tidakan mengemiskata presiden tetapi apa yang pemerintah lakukan sekarang ni akan membuat rakyat jadi pengemis,Negatif
kamu harus jadi pemeran di pemerintahan sih saya rasa di masa depan karena negara ini butuh banget orang² muda baik yang seperti kamu untuk membuat indonesia menjadi jauh lebih baik,Positif
smangat bang untuk kemajuan indonesia saran kritiklah untuk membangun,Positif
saya sih optimis kalau danantara ini pasti gagal,Netral
investasi tidak akan berhasil pada negara hutang besar yang ngbayarnya sudah ngosan terlebih kebutuhan utama sandang pangan papan pendidikan itu belum aman eh malah budget nya di potongin,Netral
ngeri dikelilingi korruptor brutal semua tidak boleh gagal korruptor nya,Negatif
mau sebrillian apapun idenya mau semega apapun proyeknya percuma kalau mentalnya masih mental korup,Negatif
trust dr rakyat dan dunia tidak ada bungfdiinvestor asing pada angkat kaki tidak percayaayo bertaruh bung danantara akan gagal dan indo akan tengelam hancurindonesia masalah terbesarnya adlh korupsiuntuk mematikan korupsi adlh digitalisasi tranparansidan untuk menjalankan itu semua di butuhkan macan sejati bukan macan sirkus,Negatif
nunggu bang reymond dari setelah di undang rosy akhirnya lounching juga keren bang terus speak up untuk mengawal pemerintah indonesia jangan pernah capek iya bang sehat selalu semoga abang menjadi contoh bagi genarasi muda indonesia bersama mengawal semua kebijakan pemerintah,Positif
jika seluruh penduduk bumi beriman dan bertakwa maka allah akan melimpahkan berkah dari langit dan bumi surat alaraf ayat mau di progam seperti apapun kalau lepas dari iman dan takwa akan tetap jauh dari limpahan berkah dari allah tetapi memang susah menghadapi konoha yang semakin hari semakin jauh dari kebangkitan pendidikan yang kurang jelas gonta ganti kurikulum tetapi tetep tambah jelek banyak orangorang pintar dan terampil tetapi ndak boleh kembangkan bakatnya dengan baik kejujuran yang harus terbungkam karena peraturan dulu,Positif
cara raja maling zaman orba bangkit bersama raja jawa,Positif
tidak puasa bro hehe,Positif
